Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,110,5,22.0,11.318181818181811
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,100",50,22.0,11.318181818181811
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,550,25,22.0,11.318181818181811
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,110,5,22.0,11.272727272727275
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"1,100",50,22.0,11.272727272727275
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,110,5,22.0,11.272727272727275
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,110,5,22.0,11.272727272727275
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,625,25,25.0,11.079999999999998
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"12,500",500,25.0,11.079999999999998
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"2,500",100,25.0,11.079999999999998
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"12,500",500,25.0,11.079999999999998
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,375,15,25.0,11.079999999999998
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"6,250",250,25.0,11.079999999999998
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"1,250",50,25.0,11.079999999999998
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,250,10,25.0,11.079999999999998
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,625,25,25.0,11.079999999999998
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,134.95,5,26.99,10.818821785846616
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,405,15,27.0,10.777777777777779
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,332.50,10,33.25,10.556390977443602
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,113",50,22.26,10.017969451931702
Masterworks 010,Sam Gilliam,Tracing,26.24,31.2%,03/31/22,239,10,23.9,9.790794979079498
Masterworks 026,Barkley L. Hendricks,Selina/Star,34.2,71.0%,03/31/22,687.50,22,31.25,9.44000000000001
Masterworks 010,Sam Gilliam,Tracing,26.24,31.2%,03/31/22,"1,680",70,24.0,9.333333333333327
